年,資源量（千トン）,親魚量（千トン）,漁獲量（千トン）,F値,漁獲割合（%）
2012,106,56,55,2.21,51
2013,101,71,52,2.1,52
2014,120,78,64,3.14,54
2015,132,61,66,2.48,50
2016,131,67,,,
